,State,Year,Household_Size,Income_Level
431,HI,2019,8,49940
432,HI,2020,1,14680
433,HI,2020,2,19830
434,HI,2020,3,24980
435,HI,2020,4,30130
436,HI,2020,5,35280
437,HI,2020,6,40430
438,HI,2020,7,45580
439,HI,2020,8,50730
440,ID,2016,1,11880
441,ID,2016,2,16020
442,ID,2016,3,20160
443,ID,2016,4,24300
444,ID,2016,5,28440
445,ID,2016,6,32580
446,ID,2016,7,36730
447,ID,2016,8,40890
448,ID,2017,1,12060
449,ID,2017,2,16240
450,ID,2017,3,20420
451,ID,2017,4,24600
452,ID,2017,5,28780
453,ID,2017,6,32960
454,ID,2017,7,37140
455,ID,2017,8,41320
456,ID,2018,1,12140
457,ID,2018,2,16460
458,ID,2018,3,20780
459,ID,2018,4,25100
460,ID,2018,5,29420
461,ID,2018,6,33740
462,ID,2018,7,38060
463,ID,2018,8,42380
464,ID,2019,1,12490
465,ID,2019,2,16910
466,ID,2019,3,21330
467,ID,2019,4,25750
468,ID,2019,5,30170
469,ID,2019,6,34590
470,ID,2019,7,39010
471,ID,2019,8,43430
472,ID,2020,1,12760
473,ID,2020,2,17240
474,ID,2020,3,21720
475,ID,2020,4,26200
476,ID,2020,5,30680
477,ID,2020,6,35160
478,ID,2020,7,39640
479,ID,2020,8,44120
480,IL,2016,1,11880
481,IL,2016,2,16020
482,IL,2016,3,20160
483,IL,2016,4,24300
484,IL,2016,5,28440
485,IL,2016,6,32580
486,IL,2016,7,36730
487,IL,2016,8,40890
488,IL,2017,1,12060
489,IL,2017,2,16240
490,IL,2017,3,20420
491,IL,2017,4,24600
492,IL,2017,5,28780
493,IL,2017,6,32960
494,IL,2017,7,37140
495,IL,2017,8,41320
496,IL,2018,1,12140
497,IL,2018,2,16460
498,IL,2018,3,20780
499,IL,2018,4,25100
500,IL,2018,5,29420
501,IL,2018,6,33740
502,IL,2018,7,38060
503,IL,2018,8,42380
504,IL,2019,1,12490
505,IL,2019,2,16910
506,IL,2019,3,21330
507,IL,2019,4,25750
508,IL,2019,5,30170
509,IL,2019,6,34590
510,IL,2019,7,39010
511,IL,2019,8,43430
512,IL,2020,1,12760
513,IL,2020,2,17240
514,IL,2020,3,21720
515,IL,2020,4,26200
516,IL,2020,5,30680
517,IL,2020,6,35160
518,IL,2020,7,39640
519,IL,2020,8,44120
520,IN,2016,1,11880
521,IN,2016,2,16020
522,IN,2016,3,20160
523,IN,2016,4,24300
524,IN,2016,5,28440
525,IN,2016,6,32580
526,IN,2016,7,36730
527,IN,2016,8,40890
528,IN,2017,1,12060
529,IN,2017,2,16240
530,IN,2017,3,20420
531,IN,2017,4,24600
532,IN,2017,5,28780
533,IN,2017,6,32960
534,IN,2017,7,37140
535,IN,2017,8,41320
536,IN,2018,1,12140
537,IN,2018,2,16460
538,IN,2018,3,20780
539,IN,2018,4,25100
540,IN,2018,5,29420
541,IN,2018,6,33740
542,IN,2018,7,38060
543,IN,2018,8,42380
544,IN,2019,1,12490
545,IN,2019,2,16910
546,IN,2019,3,21330
547,IN,2019,4,25750
548,IN,2019,5,30170
549,IN,2019,6,34590
550,IN,2019,7,39010
551,IN,2019,8,43430
552,IN,2020,1,12760
553,IN,2020,2,17240
554,IN,2020,3,21720
555,IN,2020,4,26200
556,IN,2020,5,30680
557,IN,2020,6,35160
